date,World_daily_cases
2021-03-11,477092.0
2021-03-12,489832.0
2021-03-13,454282.0
2021-03-14,360832.0
2021-03-15,347637.0
2021-03-16,473295.0
2021-03-17,539559.0
2021-03-18,553597.0
2021-03-19,562030.0
2021-03-20,499986.0
2021-03-21,424407.0
2021-03-22,415373.0
2021-03-23,514226.0
2021-03-24,633691.0
2021-03-25,651889.0
2021-03-26,641465.0
2021-03-27,585799.0
2021-03-28,470528.0
2021-03-29,457328.0
2021-03-30,568366.0
2021-03-31,683409.0
2021-04-01,712414.0
2021-04-02,634348.0
2021-04-03,530861.0
2021-04-04,553922.0
2021-04-05,486441.0
2021-04-06,604580.0
2021-04-07,684680.0
2021-04-08,839962.0
2021-04-09,749833.0
2021-04-10,666722.0
2021-04-11,690450.0
2021-04-12,614478.0
2021-04-13,779554.0
2021-04-14,817295.0
2021-04-15,816468.0
2021-04-16,857402.0
2021-04-17,786385.0
2021-04-18,685755.0
2021-04-19,692807.0
2021-04-20,853914.0
2021-04-21,891023.0
2021-04-22,898632.0
2021-04-23,903509.0
2021-04-24,821480.0
2021-04-25,723908.0
2021-04-26,681905.0
2021-04-27,844409.0
2021-04-28,905975.0
2021-04-29,898160.0
2021-04-30,879921.0
2021-05-01,797677.0
2021-05-02,674693.0
2021-05-03,679812.0
2021-05-04,806995.0
2021-05-05,842013.0
2021-05-06,870951.0
2021-05-07,832614.0
2021-05-08,786520.0
2021-05-09,642143.0
2021-05-10,619267.0
2021-05-11,738696.0
2021-05-12,760574.0
2021-05-13,725486.0
2021-05-14,717572.0
2021-05-15,628628.0
2021-05-16,549094.0
2021-05-17,539311.0
2021-05-18,622355.0
2021-05-19,672038.0
2021-05-20,628790.0
2021-05-21,626096.0
2021-05-22,579019.0
2021-05-23,476943.0
2021-05-24,452898.0
2021-05-25,532171.0
2021-05-26,569264.0
2021-05-27,554422.0
2021-05-28,500268.0
2021-05-29,481880.0
2021-05-30,391818.0
2021-05-31,378612.0
2021-06-01,463162.0
2021-06-02,485845.0
2021-06-03,489437.0
2021-06-04,419375.0
2021-06-05,398886.0
2021-06-06,323166.0
2021-06-07,320653.0
2021-06-08,366844.0
2021-06-09,419778.0
2021-06-10,449735.0
2021-06-11,420840.0
2021-06-12,372709.0
2021-06-13,303587.0
2021-06-14,307503.0
2021-06-15,371225.0
2021-06-16,398671.0
2021-06-17,392514.0
2021-06-18,406787.0
2021-06-19,349302.0
2021-06-20,302325.0
2021-06-21,293818.0
2021-06-22,371637.0
2021-06-23,437656.0
2021-06-24,405016.0
2021-06-25,421870.0
2021-06-26,365943.0
2021-06-27,311404.0
2021-06-28,328394.0
2021-06-29,379581.0
2021-06-30,396935.0
2021-07-01,441124.0
2021-07-02,441231.0
2021-07-03,376632.0
2021-07-04,328462.0
2021-07-05,369544.0
2021-07-06,453428.0
2021-07-07,463370.0
2021-07-08,480458.0
2021-07-09,507456.0
2021-07-10,426967.0
2021-07-11,370458.0
2021-07-12,436808.0
2021-07-13,519906.0
2021-07-14,541397.0
2021-07-15,571995.0
2021-07-16,598153.0
2021-07-17,473859.0
2021-07-18,430938.0
2021-07-19,496969.0
2021-07-20,529891.0
2021-07-21,558679.0
2021-07-22,564452.0
2021-07-23,689624.0
2021-07-24,472005.0
2021-07-25,445085.0
2021-07-26,540804.0
2021-07-27,610002.0
2021-07-28,644038.0
2021-07-29,653070.0
2021-07-30,729855.0
2021-07-31,508829.0
2021-08-01,482037.0
2021-08-02,578524.0
2021-08-03,636942.0
2021-08-04,675449.0
2021-08-05,688684.0
2021-08-06,821214.0
2021-08-07,549879.0
2021-08-08,440114.0
2021-08-09,656102.0
2021-08-10,648252.0
2021-08-11,728111.0
2021-08-12,710544.0
2021-08-13,805581.0
2021-08-14,533295.0
2021-08-15,463726.0
2021-08-16,679231.0
2021-08-17,682233.0
2021-08-18,728219.0
2021-08-19,715241.0
2021-08-20,790026.0
2021-08-21,539343.0
2021-08-22,446132.0
2021-08-23,705056.0
2021-08-24,686483.0
2021-08-25,730555.0
2021-08-26,735613.0
2021-08-27,744862.0
2021-08-28,546599.0
2021-08-29,446423.0
2021-08-30,687227.0
2021-08-31,618664.0
2021-09-01,726955.0
2021-09-02,677840.0
2021-09-03,717183.0
2021-09-04,488863.0
2021-09-05,427119.0
2021-09-06,437632.0
2021-09-07,737047.0
2021-09-08,630795.0
2021-09-09,637170.0
2021-09-10,633401.0
2021-09-11,451520.0
2021-09-12,364218.0
2021-09-13,609902.0
2021-09-14,549946.0
2021-09-15,568426.0
2021-09-16,574844.0
2021-09-17,593437.0
2021-09-18,382963.0
2021-09-19,357506.0
2021-09-20,540816.0
2021-09-21,468420.0
2021-09-22,537159.0
2021-09-23,510789.0
2021-09-24,546742.0
2021-09-25,362719.0
2021-09-26,332927.0
2021-09-27,488051.0
2021-09-28,447122.0
2021-09-29,502291.0
2021-09-30,485071.0
2021-10-01,543635.0
2021-10-02,341156.0
2021-10-03,293421.0
2021-10-04,458492.0
2021-10-05,417428.0
2021-10-06,513215.0
2021-10-07,431923.0
2021-10-08,478150.0
2021-10-09,328789.0
2021-10-10,301683.0
2021-10-11,393423.0
2021-10-12,432553.0
2021-10-13,462677.0
2021-10-14,443790.0
2021-10-15,460302.0
2021-10-16,332199.0
2021-10-17,302376.0
2021-10-18,425940.0
2021-10-19,441277.0
2021-10-20,467709.0
2021-10-21,457349.0
2021-10-22,488381.0
2021-10-23,366790.0
2021-10-24,317041.0
2021-10-25,405821.0
2021-10-26,452355.0
2021-10-27,509958.0
2021-10-28,458372.0
2021-10-29,507058.0
2021-10-30,381541.0
2021-10-31,305970.0
2021-11-01,431321.0
